Titulo,Sku,Precios Originales,Precios Descuentos,Precios Envio,Stock
"Tarjeta de Video ASRock AMD Radeon RX 6600 Challenger D, 8GB 128-bit GDDR6, PCI Express 4.0 ― ¡Compra y llévate de regalo Starfield!",RX6600 CLD 8G,"$7,502.00","$3,459.00",$99.00,53
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 3060 GAMING OC (rev. 2.0), 12GB 192-bit GDDR6, PCI Express x16 4.0",GV-N3060GAMING OC-12GD (REV 2.0),"$7,251.00","$5,889.00",$99.00,70
"Tarjeta de Video ASUS NVIDIA GeForce RTX 3060 V2 Phoenix OC, 12GB 192-bit GDDR6, PCI Express 4.0",PH-RTX3060-12G-V2,"$6,583.00","$5,379.00",Envío gratis,85
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3060 White OC, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0GB7-M0NA00,"$5,673.00","$5,829.00",Envío gratis,26
"Tarjeta de Video ASUS NVIDIA GeForce GTX 1660 SUPER Phoenix OC, 6GB 192-bit GDDR6, PCI Express 3.0",90YV0DT0-M0AA00,"$18,507.00","$4,899.00",Envío gratis,4
"Tarjeta de Video MSI NVIDIA GeForce RTX 4070 Ti GAMING X TRIO, 12GB 192-bit GDDR6X, PCI Express 4.0",RTX 4070 TI GAMING X TRIO 12G,"$17,906.00","$16,669.00",$99.00,27
"Tarjeta de Video MSI NVIDIA GeForce RTX 4070 Ti VENTUS 3X 12G OC, 12GB 192-bit GDDR6X, PCI Express 4.0",RTX 4070 TI VENTUS 3X 12G OC,"$5,994.00","$16,079.00",$99.00,76
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3050 OC, 8GB 128-bit GDDR6, PCI Express 4.0",DUAL-RTX3050-O8G,"$8,774.00","$4,979.00",$99.00,3
"Tarjeta de Video PNY NVIDIA GeForce RTX 3060 Ti 8GB GDDR6X VERTO Dual Fan LHR, 8GB 256-bit GDDR6, PCI Express 4.0",VCG3061T8LDFBPB1,"$3,717.00","$7,889.00",$99.00,78
"Tarjeta de Video Gigabyte NVIDIA GeForce GTX 1650 OC, 4GB 128-bit GDDR6, PCI Express 3.0 x16",GV-N1656OC-4GD,"$9,394.00","$2,989.00",$99.00,22
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 2060 D6 6G (rev. 2.0), 6GB 192-bit GDDR6, PCI Express x16 3.0",GV-N2060D6-6GD REV2.0,"$4,905.00","$8,329.00",$99.00,3
"Tarjeta de Video ASUS NVIDIA Phoenix GeForce RTX 3050 8G, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HH2-M0NA00,"$1,706.00","$4,329.00",Envío gratis,4
"Tarjeta de Video ASUS NVIDIA GeForce GT 730 Low Profile, 2GB 64-bit GDDR5, PCI Express 2.0",90YV06N2-M0NA00,"$24,988.00","$1,519.00",$99.00,10
"Tarjeta de Video MSI NVIDIA GeForce RTX 4080 16GB Ventus 3X OC, 16GB 256-bit GDDR6X, PCI Express 4.0",RTX 4080 16GB VENTUS 3X OC,"$31,096.00","$22,949.00",$99.00,2
"Tarjeta de Video ASUS NVIDIA ROG Strix GeForce RTX 4080 OC, 16GB 256-bit GDDR6X, PCI Express 4.0",90YV0IC0-M0NA00,"$4,361.00","$29,249.00",$99.00,25
"Tarjeta de Video AMD Radeon Pro WX 2100, 2GB 64-bit GDDR5, PCI Express x16 3.0",100-506001,"$3,269.00","$2,739.00",$99.00,34
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 4070 Ti EAGLE OC 12G, 12GB 192-bit GDDR6X, PCI Express 4.0",GV-N407TEAGLE OC-12GD,"$19,996.00","$16,109.00",$99.00,9
"Tarjeta de Video EVGA NVIDIA GeForce GT 730, 2GB 64-bit GDDR5, PCI Express 2.0 - Incluye Bracket Low Profile",02G-P3-3733-KR,"$1,297.00","$1,169.00",$99.00,629
"Tarjeta de Video ASUS AMD Dual Radeon RX 7600 OC, 8GB 128-bit GDDR6, PCI Express 4.0 ― ¡Compra y llévate de regalo Starfield!",90YV0IH1-M0AA00,"$6,065.00","$5,479.00",Envío gratis,14
"Tarjeta de Video ASUS NVIDIA TUF Gaming GeForce RTX 3050 OC, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HM4-M0AA00,"$7,015.00","$5,929.00",Envío gratis,5
"Tarjeta de Video Sapphire NITRO+ AMD Radeon RX 6650 XT GAMING, 8GB 128-bit GDDR6, PCI Express 4.0 ― ¡Compra y llévate de regalo Starfield!",11319-01-20G,"$7,959.00","$6,889.00",$99.00,11
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 4080 16GB GAMING OC, 16GB 256-bit GDDR6X, PCI Express 4.0",GV-N4080GAMING OC-16GD,"$25,896.00","$24,319.00",$99.00,33
"Tarjeta de Video ASUS TUF Gaming NVIDIA GeForce GTX 1660 SUPER, 6GB 192-bit GDDR6, PCI Express 3.0",TUF-GTX1660S-6G-GAMING,"$5,419.00","$4,599.00",$99.00,8
