Titulo,Sku,Precios Originales,Precios Descuentos,Precios Envio,Stock
"Tarjeta de Video ASUS NVIDIA Phoenix GeForce RTX 3050 8G, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HH2-M0NA00,"$5,594.00","$3,749.00",$99.00,25
"Tarjeta de Video MSI NVIDIA GeForce RTX 4070 VENTUS 3X 12G OC, 12GB 192-bit GDDR6X, PCI Express 4.0",RTX 4070 VENTUS 3X 12G OC,"$6,739.00","$11,259.00",$99.00,12
"Tarjeta de Video Gigabyte NVIDIA GeForce GTX 1660 OC, 6GB 192-bit GDDR5, PCI Express x16 3.0",GV-N1660OC-6GD,"$5,042.00","$5,319.00",$99.00,27
"Tarjeta de Video Gigabyte AMD Radeon RX 6600 Eagle 8G, 8GB 128-bit GDDR6, PCI Express x8 4.0 ― ¡Compra y llévate de regalo Starfield!",GV-R66EAGLE-8GD,"$5,853.00","$4,469.00",$99.00,156
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3060 OC, 8GB 128-bit GDDR6, PCI Express 4.0",DUAL-RTX3060-O8G,"$7,437.00","$4,829.00",$99.00,10
"Tarjeta de Video ASUS NVIDIA GeForce RTX 3060 V2 Phoenix OC, 12GB 192-bit GDDR6, PCI Express 4.0",PH-RTX3060-12G-V2,"$1,696.00","$5,479.00",$99.00,34
"Tarjeta de Video ASUS NVIDIA GeForce GT 730 Low Profile, 2GB 64-bit GDDR5, PCI Express 2.0",90YV06N2-M0NA00,"$6,723.00","$1,369.00",$99.00,11
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3060 White OC, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0GB7-M0NA00,"$6,418.00","$5,899.00",$99.00,31
"Tarjeta de Video ASUS NVIDIA GeForce GTX 1660 SUPER Phoenix OC, 6GB 192-bit GDDR6, PCI Express 3.0",90YV0DT0-M0AA00,"$5,197.00","$5,459.00",$99.00,100
"Tarjeta de Video ASUS NVIDIA TUF GeForce GTX 1660 SUPER Gaming OC, 6GB 192-bit GDDR6, PCI Express x16 3.0",90YV0DT2-MVAA00,"$6,887.00","$4,509.00",$99.00,9
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 3060 WINDFORCE OC 12G, 12GB 192-bit GDDR6, PCI Express x16 4.0",GV-N3060WF2OC-12GD,"$6,593.00","$5,889.00",$99.00,183
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3050 OC, 8GB 128-bit GDDR6, PCI Express 4.0",DUAL-RTX3050-O8G,"$30,768.00","$5,349.00",$99.00,17
"Tarjeta de Video ASUS NVIDIA ROG Strix GeForce RTX 4080 OC, 16GB 256-bit GDDR6X, PCI Express 4.0",90YV0IC0-M0NA00,"$25,650.00","$26,569.00",$99.00,3
"Tarjeta de Video MSI NVIDIA GeForce RTX 4080 16GB Ventus 3X OC, 16GB 256-bit GDDR6X, PCI Express 4.0",RTX 4080 16GB VENTUS 3X OC,"$9,394.00","$22,599.00",$99.00,16
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 2060 D6 6G (rev. 2.0), 6GB 192-bit GDDR6, PCI Express x16 3.0",GV-N2060D6-6GD REV2.0,"$7,788.00","$8,329.00",$99.00,3
"Tarjeta de Video Zotac NVIDIA GeForce RTX 3060 Twin Edge OC, 12GB 192-bit GDDR6, PCI Express x16 4.0",ZT-A30600H-10M,"$6,219.00","$5,489.00",$99.00,19
"Tarjeta de Video AMD Radeon Pro WX 2100, 2GB 64-bit GDDR5, PCI Express x16 3.0",100-506001,"$3,269.00","$2,679.00",$99.00,34
"Tarjeta de Video ASUS NVIDIA TUF Gaming GeForce RTX 4060 Ti OC, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0J50-M0AA00,"$9,732.00","$8,279.00",$99.00,9
"Tarjeta de Video EVGA NVIDIA GeForce GT 730, 2GB 64-bit GDDR5, PCI Express 2.0 - Incluye Bracket Low Profile",02G-P3-3733-KR,"$1,287.00","$1,139.00",$99.00,654
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 4080 16GB GAMING OC, 16GB 256-bit GDDR6X, PCI Express 4.0",GV-N4080GAMING OC-16GD,"$26,899.00","$23,799.00",$99.00,36
"Tarjeta de Video Sapphire NITRO+ AMD Radeon RX 6650 XT GAMING, 8GB 128-bit GDDR6, PCI Express 4.0 ― ¡Compra y llévate de regalo Starfield!",11319-01-20G,"$7,959.00","$6,819.00",$99.00,11
"Tarjeta de Video Zotac NVIDIA GeForce RTX 4090 Gaming Trinity OC, 24GB 384-bit GDDR6X, PCI Express x16 4.0",ZT-D40900J-10P,"$32,616.00","$30,059.00",$99.00,¡1
"Tarjeta de Video ASUS NVIDIA GeForce RTX 4090 TUF Gaming OC, 24GB 384-bit GDDR6X, PCI Express 4.0",TUF-RTX4090-O24G-GAMING,"$34,031.00","$32,669.00",$99.00,7
"Tarjeta de Video ASUS TUF Gaming NVIDIA GeForce GTX 1660 SUPER, 6GB 192-bit GDDR6, PCI Express 3.0",TUF-GTX1660S-6G-GAMING,"$5,419.00","$4,499.00",$99.00,8
"Tarjeta de Video ASUS NVIDIA TUF Gaming GeForce RTX 3050 OC, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HM4-M0AA00,"$7,459.00","$6,669.00",$99.00,106
"Tarjeta de Video PNY NVIDIA Quadro RTX A4500, 20GB 320-bit GDDR6, PCI Express 4.0 x16",VCNRTXA4500-PB,"$30,285.00","$28,889.00",$99.00,¡1
