Titulo,Sku,Precios Originales,Precios Descuentos,Precios Envio,Stock
"Tarjeta de Video Zotac NVIDIA GAMING GeForce RTX 4060 8GB OC Spider-Man: Across The Spider-Verse, 8GB 128-bit GDDR6, PCI Express 4.0",ZT-D40600P-10SMP,"$6,107.00","$5,639.00",$99.00,82
"Tarjeta de Video ASUS NVIDIA Phoenix GeForce RTX 3050 8G, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HH2-M0NA00,"$6,694.00","$4,019.00",$99.00,51
"Tarjeta de Video Gigabyte NVIDIA GeForce GTX 1660 OC, 6GB 192-bit GDDR5, PCI Express x16 3.0",GV-N1660OC-6GD,"$7,467.00","$5,329.00",$99.00,27
"Tarjeta de Video ASUS NVIDIA GeForce RTX 3060 V2 Phoenix OC, 12GB 192-bit GDDR6, PCI Express 4.0",PH-RTX3060-12G-V2,"$1,702.00","$5,489.00",$99.00,74
"Tarjeta de Video ASUS NVIDIA GeForce GT 730 Low Profile, 2GB 64-bit GDDR5, PCI Express 2.0",90YV06N2-M0NA00,"$6,889.00","$1,369.00",$99.00,6
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 3060 WINDFORCE OC 12G, 12GB 192-bit GDDR6, PCI Express x16 4.0",GV-N3060WF2OC-12GD,"$6,583.00","$5,909.00",$99.00,181
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3060 White OC, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0GB7-M0NA00,"$18,343.00","$5,909.00",$99.00,31
"Tarjeta de Video MSI NVIDIA GeForce RTX 4070 Ti GAMING X TRIO, 12GB 192-bit GDDR6X, PCI Express 4.0",RTX 4070 TI GAMING X TRIO 12G,"$6,601.00","$16,359.00",$99.00,30
"Tarjeta de Video ASUS NVIDIA Dual GeForce RTX 3050 OC, 8GB 128-bit GDDR6, PCI Express 4.0",DUAL-RTX3050-O8G,"$9,394.00","$5,369.00",$99.00,17
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 2060 D6 6G (rev. 2.0), 6GB 192-bit GDDR6, PCI Express x16 3.0",GV-N2060D6-6GD REV2.0,"$24,988.00","$8,329.00",$99.00,3
"Tarjeta de Video MSI NVIDIA GeForce RTX 4080 16GB Ventus 3X OC, 16GB 256-bit GDDR6X, PCI Express 4.0",RTX 4080 16GB VENTUS 3X OC,"$3,250.00","$22,659.00",$99.00,16
"Tarjeta de Video MSI NVIDIA GeForce GTX 1650 D6 VENTUS XS OC, 4GB 128-bit GDDR6, PCI Express x16 3.0",GTX 1650 D6 VENTUS XS OC,"$6,208.00","$2,849.00",$99.00,2
"Tarjeta de Video Zotac NVIDIA GeForce RTX 3060 Twin Edge OC, 12GB 192-bit GDDR6, PCI Express x16 4.0",ZT-A30600H-10M,"$7,755.00","$5,499.00",$99.00,19
"Tarjeta de Video MSI NVIDIA GeForce RTX 4060 Ti VENTUS 2X BLACK 8G OC, 8GB 128-bit GDDR6, PCI Express 4.0",GEFORCE RTX 4060 TI VENTUS 2X BLACK 8G OC,"$3,269.00","$6,409.00",$99.00,7
"Tarjeta de Video AMD Radeon Pro WX 2100, 2GB 64-bit GDDR5, PCI Express x16 3.0",100-506001,"$9,744.00","$2,689.00",$99.00,34
"Tarjeta de Video Sapphire NITRO+ AMD Radeon RX 6650 XT GAMING, 8GB 128-bit GDDR6, PCI Express 4.0 ― ¡Compra y llévate de regalo Starfield!",11319-01-20G,"$7,959.00","$6,829.00",$99.00,11
"Tarjeta de Video Gigabyte NVIDIA GeForce RTX 4080 16GB GAMING OC, 16GB 256-bit GDDR6X, PCI Express 4.0",GV-N4080GAMING OC-16GD,"$26,183.00","$23,849.00",$99.00,36
"Tarjeta de Video Zotac NVIDIA GeForce RTX 4090 Gaming Trinity OC, 24GB 384-bit GDDR6X, PCI Express x16 4.0",ZT-D40900J-10P,"$32,620.00","$30,129.00",$99.00,¡1
"Tarjeta de Video ASUS TUF Gaming NVIDIA GeForce GTX 1660 SUPER, 6GB 192-bit GDDR6, PCI Express 3.0",TUF-GTX1660S-6G-GAMING,"$5,419.00","$4,509.00",$99.00,8
"Tarjeta de Video ASUS NVIDIA TUF Gaming GeForce RTX 3050 OC, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HM4-M0AA00,"$7,529.00","$6,679.00",$99.00,82
"Tarjeta de Video PNY NVIDIA Quadro RTX A4500, 20GB 320-bit GDDR6, PCI Express 4.0 x16",VCNRTXA4500-PB,"$30,299.00","$28,719.00",$99.00,¡1
"Tarjeta de Video Zotac NVIDIA GAMING GeForce RTX 4060 8GB OC Spider-Man: Across The Spider-Verse, 8GB 128-bit GDDR6, PCI Express 4.0",ZT-D40600P-10SMP,"$6,107.00","$5,639.00",$99.00,82
